date_out,destination,price
2016-04-01,DUB,429
2016-04-08,DUB,368
2016-04-15,DUB,609
2016-04-22,DUB,356
2016-04-29,DUB,253
2016-05-06,DUB,347
2016-05-13,DUB,242
2016-05-20,DUB,323
2016-05-27,DUB,331
2016-06-03,DUB,275
2016-06-10,DUB,291
2016-06-17,DUB,267
2016-06-24,DUB,270
2016-07-01,DUB,289
2016-07-08,DUB,277
2016-07-15,DUB,256
2016-07-22,DUB,259
2016-07-29,DUB,256
2016-08-05,DUB,256
2016-08-12,DUB,256
2016-04-01,CPH,204
2016-04-08,CPH,223
2016-04-15,CPH,196
2016-04-22,CPH,178
2016-04-29,CPH,212
2016-05-06,CPH,249
2016-05-13,CPH,166
2016-05-20,CPH,162
2016-05-27,CPH,234
2016-06-03,CPH,215
2016-06-10,CPH,205
2016-06-17,CPH,205
2016-06-24,CPH,215
2016-07-01,CPH,195
2016-07-08,CPH,241
2016-07-15,CPH,205
2016-07-22,CPH,220
2016-07-29,CPH,205
2016-08-05,CPH,200
2016-08-12,CPH,195
2016-04-01,LUX,491
2016-04-08,LUX,413
2016-04-15,LUX,352
2016-04-22,LUX,311
2016-04-29,LUX,306
2016-05-06,LUX,306
2016-05-13,LUX,396
2016-05-20,LUX,331
2016-05-27,LUX,306
2016-06-03,LUX,344
2016-06-10,LUX,319
2016-06-17,LUX,311
2016-06-24,LUX,311
2016-07-01,LUX,315
2016-07-08,LUX,315
2016-07-15,LUX,334
2016-07-22,LUX,311
2016-07-29,LUX,311
2016-08-05,LUX,295
2016-08-12,LUX,279
2016-04-01,BGO,491
2016-04-08,BGO,215
2016-04-15,BGO,247
2016-04-22,BGO,248
2016-04-29,BGO,256
2016-05-06,BGO,272
2016-05-13,BGO,242
2016-05-20,BGO,300
2016-05-27,BGO,296
2016-06-03,BGO,339
2016-06-10,BGO,227
2016-06-17,BGO,355
2016-06-24,BGO,334
2016-07-01,BGO,314
2016-07-08,BGO,334
2016-07-15,BGO,371
2016-07-22,BGO,400
2016-07-29,BGO,344
2016-08-05,BGO,344
2016-08-12,BGO,324
2016-04-01,OSL,206
2016-04-08,OSL,219
2016-04-15,OSL,191
2016-04-22,OSL,191
2016-04-29,OSL,197
2016-05-06,OSL,203
2016-05-13,OSL,194
2016-05-20,OSL,190
2016-05-27,OSL,190
2016-06-03,OSL,190
2016-06-10,OSL,199
2016-06-17,OSL,247
2016-06-24,OSL,312
2016-07-01,OSL,323
2016-07-08,OSL,302
2016-07-15,OSL,261
2016-07-22,OSL,260
2016-07-29,OSL,294
2016-08-05,OSL,255
2016-08-12,OSL,203
2016-04-01,TRD,353
2016-04-08,TRD,296
2016-04-15,TRD,247
2016-04-22,TRD,195
2016-04-29,TRD,210
2016-05-06,TRD,230
2016-05-13,TRD,252
2016-05-20,TRD,195
2016-05-27,TRD,227
2016-06-03,TRD,227
2016-06-10,TRD,195
2016-06-17,TRD,349
2016-06-24,TRD,399
2016-07-01,TRD,373
2016-07-08,TRD,355
2016-07-15,TRD,406
2016-07-22,TRD,410
2016-07-29,TRD,395
2016-08-05,TRD,325
2016-08-12,TRD,308
2016-04-01,SVG,258
2016-04-08,SVG,217
2016-04-15,SVG,226
2016-04-22,SVG,217
2016-04-29,SVG,262
2016-05-06,SVG,256
2016-05-13,SVG,226
2016-05-20,SVG,258
2016-05-27,SVG,381
2016-06-03,SVG,256
2016-06-10,SVG,277
2016-06-17,SVG,358
2016-06-24,SVG,319
2016-07-01,SVG,356
2016-07-08,SVG,372
2016-07-15,SVG,407
2016-07-22,SVG,431
2016-07-29,SVG,389
2016-08-05,SVG,339
2016-08-12,SVG,330
2016-04-01,ARN,299
2016-04-08,ARN,268
2016-04-15,ARN,240
2016-04-22,ARN,206
2016-04-29,ARN,231
2016-05-06,ARN,243
2016-05-13,ARN,474
2016-05-20,ARN,200
2016-05-27,ARN,242
2016-06-03,ARN,284
2016-06-10,ARN,279
2016-06-17,ARN,244
2016-06-24,ARN,272
2016-07-01,ARN,290
2016-07-08,ARN,274
2016-07-15,ARN,274
2016-07-22,ARN,274
2016-07-29,ARN,249
2016-08-05,ARN,245
2016-08-12,ARN,229
2016-04-01,BCN,344
2016-04-08,BCN,390
2016-04-15,BCN,435
2016-04-22,BCN,392
2016-04-29,BCN,406
2016-05-06,BCN,390
2016-05-13,BCN,404
2016-05-20,BCN,326
2016-05-27,BCN,480
2016-06-03,BCN,525
2016-06-10,BCN,405
2016-06-17,BCN,453
2016-06-24,BCN,363
2016-07-01,BCN,385
2016-07-08,BCN,414
2016-07-15,BCN,466
2016-07-22,BCN,431
2016-07-29,BCN,452
2016-08-05,BCN,453
2016-08-12,BCN,426
2016-04-01,MAD,363
2016-04-08,MAD,421
2016-04-15,MAD,301
2016-04-22,MAD,344
2016-04-29,MAD,354
2016-05-06,MAD,357
2016-05-13,MAD,316
2016-05-20,MAD,364
2016-05-27,MAD,469
2016-06-03,MAD,396
2016-06-10,MAD,352
2016-06-17,MAD,318
2016-06-24,MAD,367
2016-07-01,MAD,368
2016-07-08,MAD,352
2016-07-15,MAD,362
2016-07-22,MAD,369
2016-07-29,MAD,395
2016-08-05,MAD,325
2016-08-12,MAD,285
2016-04-01,LYS,520
2016-04-08,LYS,494
2016-04-15,LYS,417
2016-04-22,LYS,433
2016-04-29,LYS,234
2016-05-06,LYS,243
2016-05-13,LYS,648
2016-05-20,LYS,213
2016-05-27,LYS,279
2016-06-03,LYS,344
2016-06-10,LYS,491
2016-06-17,LYS,432
2016-06-24,LYS,462
2016-07-01,LYS,386
2016-07-08,LYS,371
2016-07-15,LYS,329
2016-07-22,LYS,308
2016-07-29,LYS,406
2016-08-05,LYS,357
2016-08-12,LYS,293
2016-04-01,NCE,411
2016-04-08,NCE,293
2016-04-15,NCE,368
2016-04-22,NCE,346
2016-04-29,NCE,505
2016-05-06,NCE,385
2016-05-13,NCE,395
2016-05-20,NCE,342
2016-05-27,NCE,845
2016-06-03,NCE,492
2016-06-10,NCE,682
2016-06-17,NCE,516
2016-06-24,NCE,532
2016-07-01,NCE,399
2016-07-08,NCE,368
2016-07-15,NCE,334
2016-07-22,NCE,334
2016-07-29,NCE,422
2016-08-05,NCE,397
2016-08-12,NCE,353
2016-04-01,CDG,278
2016-04-08,CDG,258
2016-04-15,CDG,199
2016-04-22,CDG,386
2016-04-29,CDG,288
2016-05-06,CDG,225
2016-05-13,CDG,249
2016-05-20,CDG,217
2016-05-27,CDG,201
2016-06-03,CDG,238
2016-06-10,CDG,277
2016-06-17,CDG,277
2016-06-24,CDG,273
2016-07-01,CDG,235
2016-07-08,CDG,249
2016-07-15,CDG,221
2016-07-22,CDG,264
2016-07-29,CDG,300
2016-08-05,CDG,234
2016-08-12,CDG,225
2016-04-01,BUD,529
2016-04-08,BUD,477
2016-04-15,BUD,477
2016-04-22,BUD,479
2016-04-29,BUD,491
2016-05-06,BUD,493
2016-05-13,BUD,390
2016-05-20,BUD,500
2016-05-27,BUD,410
2016-06-03,BUD,422
2016-06-10,BUD,419
2016-06-17,BUD,387
2016-06-24,BUD,404
2016-07-01,BUD,313
2016-07-08,BUD,370
2016-07-15,BUD,392
2016-07-22,BUD,722
2016-07-29,BUD,332
2016-08-05,BUD,413
2016-08-12,BUD,442
2016-04-01,LIN,347
2016-04-08,LIN,310
2016-04-15,LIN,413
2016-04-22,LIN,269
2016-04-29,LIN,341
2016-05-06,LIN,549
2016-05-13,LIN,269
2016-05-20,LIN,268
2016-05-27,LIN,413
2016-06-03,LIN,369
2016-06-10,LIN,298
2016-06-17,LIN,294
2016-06-24,LIN,294
2016-07-01,LIN,369
2016-07-08,LIN,318
2016-07-15,LIN,306
2016-07-22,LIN,307
2016-07-29,LIN,307
2016-08-05,LIN,334
2016-08-12,LIN,307
2016-04-01,BLQ,587
